Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
6h 4d 2h,5h,JhJd,0.776,69.40,8.6882,104.326,0.37,8.16,61.24,8.69,38.39,8.69
6h 4d 2h,5h,Jh7h,0.901,91.71,19.1258,173.797,22.72,19.13,77.12,19.13,0.15,18.21
6h 4d 2h,5h,Jh8h,0.974,91.72,19.3444,175.76,84.99,19.35,14.87,19.34,0.14,18.32
6h 4d 2h,5h,Jh9h,0.921,91.66,19.4643,176.961,45.03,19.46,54.85,19.47,0.12,18.28
6h 4d 2h,5h,JhTh,0.725,90.98,18.7054,171.334,9.66,18.70,90.21,18.71,0.13,17.85
6h 4d 2h,5h,Jh8s,0.947,31.27,4.14328,110.407,10.23,4.12,31.83,4.15,57.95,4.15
6h 4d 2h,5h,Jh9s,0.909,25.54,3.1884,104.02,24.50,3.19,32.45,3.19,43.05,3.19
6h 4d 2h,5h,JhTs,0.759,25.87,3.19862,103.04,20.58,3.19,21.83,3.20,57.59,3.20
6h 4d 2h,5h,Qh8c,0.964,33.22,4.45367,111.726,36.51,4.45,24.02,4.45,39.47,4.46
6h 4d 2h,5h,Qh9c,0.892,27.62,3.49234,105.384,31.75,3.49,43.69,3.50,24.56,3.48
6h 4d 2h,5h,QhTc,0.801,27.91,3.49017,104.193,25.29,3.48,31.36,3.50,43.35,3.49
6h 4d 2h,5h,QhJc,0.777,28.47,3.51921,103.003,36.96,3.52,9.12,3.51,53.92,3.52
6h 4d 2h,5h,QhQc,0.875,72.59,9.49946,109.059,0.62,9.18,29.36,9.50,70.02,9.50
6h 4d 2h,5h,Qh8d,0.966,33.12,4.44746,111.906,8.26,4.44,11.63,4.44,80.11,4.45
6h 4d 2h,5h,Qh9d,0.929,27.30,3.45413,105.437,14.49,3.44,15.98,3.45,69.53,3.46
6h 4d 2h,5h,QhTd,0.806,27.76,3.47956,104.443,16.93,3.47,9.25,3.48,73.83,3.48
6h 4d 2h,5h,QhJd,0.746,28.32,3.50713,103.216,5.02,3.50,2.95,3.46,92.04,3.51
6h 4d 2h,5h,QhQd,0.812,72.48,9.4757,108.948,0.63,9.13,35.69,9.48,63.68,9.48
6h 4d 2h,5h,Qh7h,0.982,93.33,20.2064,180.429,15.48,20.20,84.40,20.21,0.13,19.08
6h 4d 2h,5h,Qh8h,0.989,93.33,20.412,182.259,65.55,20.41,34.33,20.41,0.12,19.19
6h 4d 2h,5h,Qh9h,0.975,93.28,20.5326,183.429,84.12,20.54,15.78,20.53,0.10,19.15
6h 4d 2h,5h,QhTh,0.974,92.89,20.0687,180.047,76.75,20.07,23.13,20.07,0.13,18.99
6h 4d 2h,5h,QhJh,0.975,93.17,20.2322,180.954,10.52,20.23,89.39,20.23,0.09,19.06
6h 4d 2h,5h,Qh8s,0.964,33.22,4.45367,111.726,36.51,4.45,24.02,4.45,39.47,4.46
6h 4d 2h,5h,Qh9s,0.892,27.62,3.49234,105.384,31.75,3.49,43.69,3.50,24.56,3.48
6h 4d 2h,5h,QhTs,0.801,27.91,3.49017,104.193,25.29,3.48,31.36,3.50,43.35,3.49
6h 4d 2h,5h,QhJs,0.777,28.47,3.51921,103.003,36.96,3.52,9.12,3.51,53.92,3.52
6h 4d 2h,5h,Kh7c,0.981,40.06,6.01459,125.127,65.32,6.02,32.04,6.02,2.64,5.98
6h 4d 2h,5h,Kh8c,0.970,37.09,5.3222,119.566,85.67,5.32,13.30,5.32,1.03,5.17
6h 4d 2h,5h,Kh9c,0.904,32.00,4.33152,112.815,94.94,4.33,3.66,4.33,1.40,4.22
6h 4d 2h,5h,KhTc,0.713,32.69,4.3385,110.609,46.78,4.34,51.06,4.34,2.17,4.27
6h 4d 2h,5h,KhJc,0.428,33.55,4.42842,109.985,3.90,4.40,93.61,4.43,2.49,4.36
6h 4d 2h,5h,KhQc,0.187,34.82,4.53487,108.546,1.37,4.49,93.01,4.54,5.63,4.47
6h 4d 2h,5h,KhKc,0.888,76.57,10.6445,115.846,0.65,10.45,10.26,10.65,89.10,10.65
6h 4d 2h,5h,Kh7d,0.981,39.74,5.97042,125.201,53.18,5.97,40.94,5.97,5.88,5.98
6h 4d 2h,5h,Kh8d,0.967,36.90,5.30285,119.77,74.63,5.30,24.17,5.31,1.20,5.15
6h 4d 2h,5h,Kh9d,0.930,31.63,4.28526,112.895,96.71,4.29,1.62,4.28,1.67,4.20
6h 4d 2h,5h,KhTd,0.786,32.60,4.32331,110.523,56.32,4.33,41.17,4.32,2.51,4.27
6h 4d 2h,5h,KhJd,0.334,33.25,4.36313,109.339,21.93,4.35,71.69,4.37,6.38,4.33
6h 4d 2h,5h,KhQd,0.143,34.31,4.50495,109.426,1.81,4.46,90.34,4.51,7.85,4.46
6h 4d 2h,5h,KhKd,0.770,76.43,10.64,116.007,0.59,10.44,10.59,10.63,88.81,10.64
6h 4d 2h,5h,Kh3h,0.996,96.22,21.7421,188.299,8.97,21.75,90.92,21.74,0.12,20.62
6h 4d 2h,5h,Kh4h,0.989,96.18,21.9923,190.551,48.69,22.00,51.17,21.99,0.14,21.07
6h 4d 2h,5h,Kh7h,0.985,95.88,21.7079,188.671,16.73,21.71,83.13,21.71,0.14,20.61
6h 4d 2h,5h,Kh8h,0.984,95.88,21.8376,189.805,54.24,21.84,45.62,21.84,0.14,20.76
6h 4d 2h,5h,Kh9h,0.891,95.86,21.9888,191.158,58.98,21.99,40.90,21.99,0.12,20.73
6h 4d 2h,5h,KhTh,0.888,95.84,22.1717,192.784,43.17,22.17,56.69,22.17,0.13,21.02
6h 4d 2h,5h,KhJh,0.882,95.79,21.6634,188.465,94.09,21.67,5.81,21.63,0.10,20.63
6h 4d 2h,5h,KhQh,0.424,95.75,21.1786,184.323,38.00,21.18,61.82,21.18,0.17,20.34
6h 4d 2h,5h,Kh7s,0.981,40.06,6.01459,125.127,65.32,6.02,32.03,6.02,2.64,5.98
6h 4d 2h,5h,Kh8s,0.970,37.09,5.3222,119.565,85.67,5.32,13.30,5.32,1.03,5.17
6h 4d 2h,5h,Kh9s,0.904,32.00,4.33152,112.815,94.95,4.33,3.66,4.33,1.40,4.22
