Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah Qd Jc,Kh,Qh8s,0.401,20.25,4.11828,169.464,0.29,4.64,83.60,4.28,16.11,3.28
Ah Qd Jc,Kh,Qh9s,0.397,20.46,4.20926,171.408,0.30,4.66,92.20,4.28,7.50,3.26
Ah Qd Jc,Kh,QhTs,0.190,87.44,13.558,129.218,0.25,11.87,63.80,13.63,35.95,13.45
Ah Qd Jc,Kh,QhJs,0.764,59.29,7.5998,106.811,0.10,6.14,0.10,6.75,99.80,7.60
Ah Qd Jc,Kh,2s2c,0.109,10.50,3.75571,298.214,0.15,3.91,98.70,3.77,1.15,2.56
Ah Qd Jc,Kh,2s2d,0.107,10.49,3.75578,298.221,0.14,3.91,98.70,3.77,1.16,2.56
Ah Qd Jc,Kh,2s2h,0.118,10.54,3.7801,298.796,0.18,3.94,98.81,3.79,1.00,2.69
Ah Qd Jc,Kh,3s3c,0.109,10.50,3.75362,298.045,0.14,3.91,98.66,3.77,1.19,2.56
Ah Qd Jc,Kh,3s3d,0.108,10.49,3.7538,298.063,0.14,3.91,98.66,3.77,1.20,2.56
Ah Qd Jc,Kh,3s3h,0.121,10.54,3.77966,298.763,0.18,3.94,98.76,3.79,1.06,2.68
Ah Qd Jc,Kh,4s4c,0.111,10.50,3.75302,297.997,0.14,3.91,98.64,3.77,1.22,2.56
Ah Qd Jc,Kh,4s4d,0.109,10.50,3.75299,297.996,0.14,3.91,98.63,3.77,1.23,2.56
Ah Qd Jc,Kh,4s4h,0.123,10.54,3.77973,298.768,0.19,3.94,98.74,3.79,1.07,2.68
