Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah Qd Jc,5s,JhTh,0.464,45.32,2.50775,92.2325,0.18,2.01,0.05,2.17,99.78,2.51
Ah Qd Jc,5s,Jh8s,0.848,34.41,1.63017,78.959,0.12,0.81,0.02,1.22,99.86,1.63
Ah Qd Jc,5s,Jh9s,0.847,35.80,1.74985,81.4706,0.11,0.84,0.02,1.29,99.87,1.75
Ah Qd Jc,5s,JhTs,0.815,45.48,2.51429,92.135,0.18,2.03,0.05,2.19,99.77,2.52
Ah Qd Jc,5s,Qh8c,0.518,54.08,2.96403,91.3469,0.12,2.00,0.03,2.95,99.85,2.97
Ah Qd Jc,5s,Qh9c,0.461,55.18,3.07982,93.0209,0.11,2.04,0.03,3.03,99.86,3.08
Ah Qd Jc,5s,QhTc,0.850,62.59,3.70805,98.7325,0.15,2.91,12.69,3.71,87.17,3.71
Ah Qd Jc,5s,QhQc,0.155,93.15,10.9877,196.596,99.73,10.99,0.24,10.60,0.03,9.79
Ah Qd Jc,5s,Qh8d,0.534,53.72,2.9371,91.1214,0.11,2.02,6.06,2.93,93.83,2.94
Ah Qd Jc,5s,Qh9d,0.514,54.73,3.04783,92.8174,0.11,2.04,0.03,3.03,99.86,3.05
Ah Qd Jc,5s,QhTd,0.805,62.61,3.70915,98.7331,0.15,2.91,13.14,3.71,86.72,3.71
Ah Qd Jc,5s,QhJd,0.248,82.68,7.21666,145.469,92.33,7.22,7.43,7.19,0.24,6.81
Ah Qd Jc,5s,Qh7h,0.256,54.12,3.03036,93.3184,0.12,2.11,0.03,3.01,99.84,3.03
Ah Qd Jc,5s,Qh8h,0.156,53.68,2.93894,91.2569,0.12,2.01,34.24,2.94,65.65,2.94
Ah Qd Jc,5s,Qh9h,0.225,54.72,3.0457,92.7739,0.11,2.04,0.03,3.03,99.86,3.05
Ah Qd Jc,5s,QhTh,0.579,62.54,3.70401,98.7127,0.14,2.90,13.37,3.71,86.49,3.71
Ah Qd Jc,5s,QhJh,0.057,83.21,7.48852,149.996,98.61,7.49,1.20,7.43,0.19,6.94
Ah Qd Jc,5s,Qh8s,0.599,53.70,2.9331,91.0278,0.12,1.97,0.03,2.91,99.85,2.93
Ah Qd Jc,5s,Qh9s,0.603,54.71,3.04355,92.715,0.11,1.99,0.03,2.99,99.87,3.04
Ah Qd Jc,5s,QhTs,0.810,62.65,3.71481,98.8319,0.14,2.92,9.34,3.71,90.51,3.72
Ah Qd Jc,5s,QhJs,0.236,82.67,7.16999,144.557,91.42,7.17,8.36,7.15,0.22,6.78
Ah Qd Jc,5s,Kh7c,0.795,15.32,0.71111,77.369,41.89,0.71,3.41,0.71,54.69,0.71
Ah Qd Jc,5s,Kh8c,0.295,15.91,0.69343,72.6204,1.12,0.61,0.26,0.60,98.61,0.69
Ah Qd Jc,5s,Kh9c,0.245,17.00,0.72753,71.3161,0.74,0.58,0.21,0.60,99.05,0.73
Ah Qd Jc,5s,KhTc,0.051,97.22,13.3205,228.351,99.25,13.32,0.73,13.12,0.02,12.34
Ah Qd Jc,5s,KhQc,0.641,64.78,3.94407,101.472,0.17,3.32,36.65,3.94,63.18,3.95
Ah Qd Jc,5s,KhKc,0.045,64.28,3.85487,99.9424,0.12,3.31,4.30,3.82,95.58,3.86
Ah Qd Jc,5s,Kh7d,0.790,15.42,0.71156,76.9228,47.37,0.71,4.17,0.71,48.45,0.71
Ah Qd Jc,5s,Kh8d,0.504,15.99,0.69407,72.3569,1.17,0.63,0.27,0.59,98.55,0.70
Ah Qd Jc,5s,Kh9d,0.503,17.02,0.72721,71.2319,0.73,0.58,0.21,0.60,99.05,0.73
Ah Qd Jc,5s,KhTd,0.035,97.22,13.3157,228.282,97.78,13.32,2.21,13.06,0.01,12.35
Ah Qd Jc,5s,KhJd,0.826,52.34,2.92517,93.145,0.20,2.47,3.06,2.92,96.74,2.93
Ah Qd Jc,5s,KhKd,0.049,64.29,3.85314,99.8843,0.12,3.31,4.18,3.82,95.70,3.86
Ah Qd Jc,5s,Kh2h,0.113,15.76,0.88814,93.9215,98.43,0.89,0.57,0.85,1.00,0.76
Ah Qd Jc,5s,Kh3h,0.107,15.76,0.8892,94.0282,98.44,0.89,0.57,0.85,0.99,0.76
Ah Qd Jc,5s,Kh4h,0.105,15.76,0.88855,93.954,98.45,0.89,0.56,0.85,0.99,0.76
Ah Qd Jc,5s,Kh5h,0.085,23.36,1.76086,125.607,99.58,1.76,0.03,1.57,0.39,1.40
Ah Qd Jc,5s,Kh6h,0.353,15.64,0.82464,87.888,97.55,0.83,0.55,0.80,1.90,0.74
Ah Qd Jc,5s,Kh7h,0.071,15.41,0.71331,77.1622,58.20,0.71,3.81,0.72,37.98,0.71
Ah Qd Jc,5s,Kh8h,0.047,16.00,0.6879,71.675,0.76,0.56,0.21,0.57,99.03,0.69
Ah Qd Jc,5s,Kh9h,0.069,17.12,0.72104,70.2018,0.56,0.54,0.19,0.57,99.25,0.72
Ah Qd Jc,5s,KhTh,0.074,97.18,13.3496,228.958,99.26,13.35,0.73,13.15,0.02,12.36
Ah Qd Jc,5s,KhJh,0.442,52.68,2.95872,93.6076,0.22,2.57,2.78,2.95,96.99,2.96
Ah Qd Jc,5s,KhQh,0.331,64.77,3.94597,101.545,0.17,3.33,43.17,3.95,56.66,3.95
Ah Qd Jc,5s,Kh7s,0.705,15.32,0.70881,77.1021,31.50,0.71,3.01,0.71,65.49,0.71
Ah Qd Jc,5s,Kh8s,0.670,15.88,0.68418,71.8243,0.66,0.55,0.21,0.56,99.13,0.69
Ah Qd Jc,5s,Kh9s,0.659,16.98,0.71675,70.3711,0.48,0.51,0.17,0.53,99.36,0.72
Ah Qd Jc,5s,KhTs,0.035,97.19,13.4404,230.481,99.45,13.44,0.53,13.17,0.01,12.38
Ah Qd Jc,5s,KhJs,0.662,52.27,2.91528,92.9572,0.20,2.45,2.86,2.91,96.94,2.92
Ah Qd Jc,5s,KhQs,0.521,64.72,3.93553,101.35,0.17,3.30,40.01,3.93,59.82,3.94
Ah Qd Jc,5s,2s2c,0.891,11.95,0.50443,70.3265,21.05,0.50,55.44,0.50,23.51,0.50
Ah Qd Jc,5s,2s2d,0.893,11.92,0.50174,70.1344,20.86,0.50,55.22,0.50,23.92,0.50
Ah Qd Jc,5s,2s2h,0.882,11.94,0.50569,70.5998,22.13,0.51,55.42,0.51,22.45,0.51
Ah Qd Jc,5s,3s3c,0.891,11.99,0.50561,70.3061,21.13,0.50,54.09,0.51,24.78,0.51
Ah Qd Jc,5s,3s3d,0.892,11.96,0.50267,70.0662,20.35,0.50,52.42,0.50,27.23,0.50
Ah Qd Jc,5s,3s3h,0.879,11.97,0.50708,70.589,21.74,0.50,54.36,0.51,23.90,0.51
Ah Qd Jc,5s,4s4c,0.889,12.04,0.50711,70.1997,20.53,0.51,52.62,0.51,26.85,0.51
Ah Qd Jc,5s,4s4d,0.891,12.07,0.50649,69.9642,20.23,0.51,53.42,0.51,26.35,0.51
Ah Qd Jc,5s,4s4h,0.877,12.09,0.51203,70.6049,22.13,0.51,53.10,0.51,24.77,0.51
Ah Qd Jc,5s,6s6c,0.988,11.62,0.44867,64.3808,16.77,0.45,18.00,0.45,65.23,0.45
Ah Qd Jc,5s,6s6d,0.988,11.64,0.45003,64.4119,16.04,0.45,17.78,0.45,66.18,0.45
Ah Qd Jc,5s,6s6h,0.989,11.64,0.45,64.4274,17.81,0.45,19.08,0.45,63.11,0.45
Ah Qd Jc,5s,7s7c,0.992,11.11,0.43542,65.3357,0.97,0.40,0.26,0.35,98.77,0.44
Ah Qd Jc,5s,7s7d,0.992,11.20,0.43489,64.7104,0.99,0.40,0.26,0.35,98.74,0.44
Ah Qd Jc,5s,7s7h,0.993,11.18,0.43423,64.7162,1.01,0.40,0.27,0.35,98.73,0.43
Ah Qd Jc,5s,7s6s,0.998,1.91,0.01862,16.247,6.56,0.02,2.60,0.01,90.83,0.02
Ah Qd Jc,5s,8s8c,0.995,14.84,0.53217,59.7646,0.19,0.17,0.04,0.09,99.77,0.53
Ah Qd Jc,5s,8s8d,0.996,14.93,0.5329,59.5047,0.20,0.20,0.04,0.10,99.76,0.53
Ah Qd Jc,5s,8s8h,0.996,15.05,0.53538,59.303,0.17,0.11,0.04,0.04,99.79,0.54
Ah Qd Jc,5s,8s6s,0.998,3.34,0.01092,5.45008,0.29,-0.22,0.17,-0.22,99.54,0.01
Ah Qd Jc,5s,8s7s,0.998,3.66,0.00774,3.52875,0.31,-0.20,0.11,-0.23,99.58,0.01
Ah Qd Jc,5s,9s8c,0.993,11.08,0.3814,57.3696,0.24,0.08,0.08,-0.07,99.68,0.38
