Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 4d 2h,Js,Th8d,0.949,10.36,1.67819,135.053,4.33,3.89,4.55,3.87,91.11,1.46
Jh 4d 2h,Js,Th9d,0.909,10.98,1.65386,125.555,3.89,3.96,2.40,3.96,93.71,1.50
Jh 4d 2h,Js,ThTd,0.050,77.77,11.2735,120.802,20.96,10.71,3.97,10.70,75.07,11.46
Jh 4d 2h,Js,Th7h,0.432,28.54,6.11535,178.59,68.08,6.32,19.37,6.25,12.55,4.77
Jh 4d 2h,Js,Th8h,0.854,28.54,6.16136,179.875,80.76,6.36,7.36,6.29,11.88,4.76
Jh 4d 2h,Js,Th9h,0.932,29.09,6.48544,185.783,96.45,6.53,0.96,6.45,2.59,4.84
Jh 4d 2h,Js,Th8s,0.947,10.32,1.58691,128.191,3.16,3.82,2.05,3.81,94.79,1.46
Jh 4d 2h,Js,Th9s,0.873,10.98,2.64865,201.001,9.89,3.86,36.87,3.85,53.24,1.59
Jh 4d 2h,Js,Qh8c,0.962,14.51,2.2017,126.446,6.87,3.86,21.37,3.81,71.77,1.56
Jh 4d 2h,Js,Qh9c,0.832,15.77,2.63107,139.067,12.99,3.84,31.93,3.81,55.07,1.66
Jh 4d 2h,Js,QhTc,0.646,17.20,2.07904,100.711,4.71,3.94,15.99,3.90,79.30,1.60
Jh 4d 2h,Js,QhJc,0.529,95.58,16.9861,148.1,10.94,16.88,88.48,16.99,0.58,18.68
Jh 4d 2h,Js,QhQc,0.994,80.01,11.36,118.317,79.09,11.26,9.52,11.32,11.38,12.07
Jh 4d 2h,Js,Qh8d,0.963,14.52,1.70015,97.5529,3.99,3.89,4.96,3.83,91.04,1.49
Jh 4d 2h,Js,Qh9d,0.864,15.76,1.78378,94.3081,5.13,3.95,5.31,3.92,89.56,1.53
Jh 4d 2h,Js,QhTd,0.560,17.20,1.94393,94.164,3.13,3.95,12.40,3.91,84.48,1.58
Jh 4d 2h,Js,QhJd,0.328,95.51,16.9734,148.098,6.54,16.85,92.93,16.97,0.53,18.68
Jh 4d 2h,Js,QhQd,0.994,80.03,11.3423,118.097,85.37,11.27,6.33,11.33,8.30,12.09
Jh 4d 2h,Js,Qh7h,0.889,31.36,5.85902,155.681,19.45,6.35,49.97,6.30,30.58,4.83
Jh 4d 2h,Js,Qh8h,0.911,32.06,5.4181,140.818,16.87,6.38,20.14,6.33,63.00,4.87
Jh 4d 2h,Js,Qh9h,0.951,33.06,5.65752,142.609,38.89,6.55,6.93,6.46,54.17,4.91
Jh 4d 2h,Js,QhTh,0.953,34.15,5.42595,132.409,23.53,6.57,6.62,6.48,69.85,4.94
Jh 4d 2h,Js,Qh8s,0.962,14.46,1.68573,97.1326,2.49,3.80,5.15,3.77,92.36,1.51
Jh 4d 2h,Js,Qh9s,0.832,15.77,2.69585,142.491,13.54,3.84,34.37,3.81,52.09,1.66
Jh 4d 2h,Js,QhTs,0.646,17.26,2.58649,124.909,13.51,3.97,26.90,3.92,59.60,1.67
Jh 4d 2h,Js,Kh7c,0.960,24.86,2.74364,91.9842,21.79,3.84,30.80,3.75,47.41,1.58
Jh 4d 2h,Js,Kh8c,0.819,26.25,2.75001,87.3182,25.81,3.83,27.61,3.73,46.59,1.58
Jh 4d 2h,Js,Kh9c,0.584,27.70,2.78112,83.6718,42.31,3.83,9.60,3.72,48.09,1.67
Jh 4d 2h,Js,KhTc,0.375,29.16,1.71835,49.1123,2.66,3.91,1.38,3.82,95.96,1.63
Jh 4d 2h,Js,KhJc,0.624,96.27,17.8367,154.398,69.73,17.80,29.98,17.90,0.29,19.35
Jh 4d 2h,Js,KhQc,0.502,30.14,1.74974,48.3738,0.44,3.92,0.33,3.81,99.23,1.73
Jh 4d 2h,Js,KhKc,0.996,81.79,12.0001,122.267,47.04,11.55,7.43,11.61,45.53,12.53
Jh 4d 2h,Js,Kh7d,0.957,24.89,1.90468,63.777,9.33,3.85,8.16,3.76,82.51,1.50
Jh 4d 2h,Js,Kh8d,0.867,26.28,1.95867,62.1079,8.90,3.85,11.14,3.77,79.97,1.50
Jh 4d 2h,Js,Kh9d,0.827,27.69,1.69286,50.9398,4.27,3.89,2.00,3.87,93.73,1.55
Jh 4d 2h,Js,KhTd,0.427,29.16,1.68541,48.1694,2.15,3.92,1.13,3.84,96.72,1.61
