Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Jh 4d 2h,8h,Qs9c,0.510,20.46,1.93424,157.539,6.77,1.93,85.73,1.94,7.51,1.92
Jh 4d 2h,8h,QsTc,0.312,20.71,1.97343,158.805,7.96,1.97,54.29,1.98,37.75,1.97
Jh 4d 2h,8h,QsJc,0.458,78.94,5.48039,115.712,2.15,5.43,76.40,5.48,21.45,5.48
Jh 4d 2h,8h,QsQc,0.005,80.00,5.96502,124.269,39.32,5.96,60.23,5.97,0.45,5.78
Jh 4d 2h,8h,Qs8d,0.322,71.59,4.46868,104.03,0.35,4.16,22.85,4.47,76.79,4.47
Jh 4d 2h,8h,Qs9d,0.210,20.46,1.94174,158.197,6.32,1.94,86.51,1.94,7.16,1.93
Jh 4d 2h,8h,QsTd,0.313,20.71,1.97719,159.113,7.63,1.97,48.68,1.98,43.69,1.98
Jh 4d 2h,8h,QsJd,0.666,78.87,5.46893,115.566,2.13,5.42,72.41,5.47,25.46,5.47
Jh 4d 2h,8h,QsQd,0.005,80.17,5.99512,124.636,35.42,5.99,64.15,6.00,0.43,5.80
Jh 4d 2h,8h,Qs9h,0.200,34.51,2.99836,144.794,19.49,2.99,20.15,2.99,60.36,3.00
Jh 4d 2h,8h,QsTh,0.347,35.01,3.02175,143.839,7.83,3.01,43.50,3.02,48.67,3.02
Jh 4d 2h,8h,QsQh,0.006,87.05,7.10086,135.955,39.86,7.10,59.89,7.10,0.24,6.81
Jh 4d 2h,8h,Qs7s,0.803,11.53,1.3628,197.037,1.04,1.31,98.22,1.36,0.74,1.27
Jh 4d 2h,8h,Qs8s,0.508,71.66,4.46918,103.94,0.36,4.17,26.33,4.47,73.31,4.47
Jh 4d 2h,8h,Qs9s,0.510,20.46,1.93421,157.537,6.76,1.93,85.75,1.94,7.49,1.92
Jh 4d 2h,8h,QsTs,0.496,20.71,1.97361,158.831,7.70,1.97,54.92,1.98,37.37,1.97
Jh 4d 2h,8h,QsJs,0.460,78.94,5.48052,115.715,2.15,5.43,77.23,5.48,20.62,5.48
Jh 4d 2h,8h,Ks7c,0.858,19.48,0.92049,78.774,1.30,0.84,71.40,0.92,27.30,0.92
Jh 4d 2h,8h,Ks8c,0.970,73.47,4.71685,107,0.37,4.52,1.61,4.69,98.02,4.72
Jh 4d 2h,8h,Ks9c,0.953,23.18,1.00967,72.5882,1.60,0.94,54.33,1.01,44.08,1.01
Jh 4d 2h,8h,KsTc,0.875,25.27,1.10138,72.6545,1.70,1.06,38.90,1.10,59.40,1.10
Jh 4d 2h,8h,KsJc,0.319,78.99,5.54262,116.944,1.63,5.48,26.38,5.54,72.00,5.54
Jh 4d 2h,8h,KsQc,0.781,26.47,1.21591,76.5562,0.87,1.16,1.68,1.19,97.45,1.22
Jh 4d 2h,8h,KsKc,0.003,80.06,6.46624,134.608,0.71,6.38,99.10,6.47,0.19,6.13
Jh 4d 2h,8h,Ks7d,0.833,19.49,0.94062,80.4432,1.28,0.86,72.49,0.94,26.23,0.94
Jh 4d 2h,8h,Ks8d,0.954,73.42,4.71487,107.035,0.37,4.51,1.56,4.69,98.07,4.72
Jh 4d 2h,8h,Ks9d,0.863,23.19,1.01359,72.8505,1.59,0.95,68.62,1.01,29.79,1.01
Jh 4d 2h,8h,KsTd,0.816,25.26,1.10384,72.8416,1.68,1.06,38.01,1.10,60.32,1.10
Jh 4d 2h,8h,KsJd,0.501,78.93,5.53044,116.786,1.60,5.47,22.89,5.53,75.51,5.53
Jh 4d 2h,8h,KsQd,0.920,26.51,1.21829,76.6031,1.00,1.16,1.74,1.19,97.27,1.22
Jh 4d 2h,8h,KsKd,0.003,80.19,6.42486,133.54,0.81,6.37,98.97,6.43,0.22,6.11
Jh 4d 2h,8h,Ks7h,0.256,33.62,2.0761,102.923,5.27,2.07,3.84,2.06,90.89,2.08
Jh 4d 2h,8h,Ks9h,0.247,36.78,2.22873,101.001,1.58,2.17,3.80,2.20,94.62,2.23
Jh 4d 2h,8h,KsTh,0.541,38.55,2.26954,98.1106,1.66,2.21,15.78,2.27,82.56,2.27
Jh 4d 2h,8h,KsQh,0.340,40.74,2.49625,102.127,5.70,2.50,9.51,2.47,84.79,2.50
Jh 4d 2h,8h,KsKh,0.004,88.48,7.77501,146.459,0.80,7.57,99.15,7.78,0.05,7.32
Jh 4d 2h,8h,Ks2s,0.223,55.61,3.08694,92.5206,0.23,2.78,0.14,2.85,99.63,3.09
Jh 4d 2h,8h,Ks3s,0.236,12.90,0.94959,122.698,1.09,0.91,96.75,0.95,2.16,0.91
Jh 4d 2h,8h,Ks4s,0.517,59.58,3.3371,93.3571,0.19,2.80,0.11,3.20,99.70,3.34
Jh 4d 2h,8h,Ks5s,0.168,15.15,0.97445,107.182,1.12,0.93,96.82,0.98,2.06,0.95
Jh 4d 2h,8h,Ks6s,0.259,17.29,0.96027,92.5661,0.99,0.86,11.18,0.95,87.83,0.96
Jh 4d 2h,8h,Ks7s,0.858,19.48,0.92048,78.7734,1.30,0.84,71.33,0.92,27.36,0.92
Jh 4d 2h,8h,Ks8s,0.970,73.47,4.71689,107.002,0.37,4.52,1.61,4.69,98.02,4.72
Jh 4d 2h,8h,Ks9s,0.953,23.18,1.00967,72.5887,1.60,0.94,54.36,1.01,44.04,1.01
Jh 4d 2h,8h,KsTs,0.911,25.16,1.09395,72.4732,1.20,1.04,7.44,1.08,91.36,1.10
Jh 4d 2h,8h,KsJs,0.320,78.99,5.54261,116.944,1.63,5.48,26.45,5.54,71.92,5.54
Jh 4d 2h,8h,KsQs,0.780,26.47,1.2159,76.5554,0.87,1.16,1.68,1.19,97.45,1.22
Jh 4d 2h,8h,As2c,0.080,57.55,3.17707,92.0038,0.26,2.88,0.20,3.04,99.55,3.18
Jh 4d 2h,8h,As3c,0.338,37.22,1.97115,88.2714,1.37,1.94,8.21,1.97,90.42,1.97
Jh 4d 2h,8h,As4c,0.116,62.46,3.54628,94.6237,0.23,3.10,0.18,3.48,99.59,3.55
Jh 4d 2h,8h,As5c,0.383,38.71,2.06048,88.7066,0.92,1.98,19.68,2.06,79.40,2.06
Jh 4d 2h,8h,As6c,0.520,34.92,1.55381,74.1591,0.39,1.30,7.57,1.55,92.04,1.55
Jh 4d 2h,8h,As7c,0.650,38.10,1.73964,76.1009,0.24,1.34,0.23,1.62,99.54,1.74
Jh 4d 2h,8h,As8c,0.889,77.39,5.11958,110.253,1.17,5.06,51.99,5.12,46.83,5.12
Jh 4d 2h,8h,As9c,0.941,43.13,2.05474,79.4069,0.27,1.70,0.17,1.99,99.56,2.06
Jh 4d 2h,8h,AsTc,0.664,47.44,2.33293,81.9558,0.32,2.10,0.18,2.24,99.50,2.33
Jh 4d 2h,8h,AsJc,0.010,81.75,5.9949,122.216,16.77,5.99,82.29,6.00,0.94,5.91
Jh 4d 2h,8h,AsQc,0.850,51.95,2.65128,85.0607,0.34,2.48,0.19,2.56,99.48,2.65
Jh 4d 2h,8h,AsKc,0.765,54.29,2.80823,86.2168,0.19,2.42,0.09,2.51,99.72,2.81
Jh 4d 2h,8h,AsAc,0.001,86.05,6.82907,132.268,3.79,6.77,95.93,6.83,0.28,6.64
Jh 4d 2h,8h,As2d,0.166,57.53,3.1744,91.9594,0.26,2.88,0.20,3.03,99.55,3.18
Jh 4d 2h,8h,As3d,0.472,37.25,1.97452,88.3481,1.40,1.95,10.19,1.97,88.41,1.98
Jh 4d 2h,8h,As5d,0.556,38.77,2.06476,88.7713,0.91,1.98,18.70,2.07,80.39,2.07
Jh 4d 2h,8h,As6d,0.415,34.97,1.55617,74.1706,0.40,1.31,17.95,1.56,81.64,1.56
Jh 4d 2h,8h,As7d,0.471,38.11,1.7404,76.1046,0.25,1.36,0.23,1.65,99.52,1.74
