Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,Qc,KhQd,0.992,63.84,3.11461,81.309,0.16,2.41,0.15,3.07,99.69,3.12
Ah 8d 2c,Qc,Kh2h,0.518,31.44,1.18853,63.0148,59.68,1.19,38.39,1.19,1.92,1.09
Ah 8d 2c,Qc,Kh3h,0.415,14.39,0.5347,61.9485,0.34,0.27,0.51,0.47,99.15,0.54
Ah 8d 2c,Qc,Kh4h,0.363,14.48,0.53853,61.9751,0.33,0.27,0.50,0.47,99.17,0.54
Ah 8d 2c,Qc,Kh5h,0.375,14.49,0.53233,61.2435,0.29,0.23,0.42,0.44,99.30,0.53
Ah 8d 2c,Qc,Kh6h,0.471,14.77,0.49481,55.8282,0.24,0.11,0.33,0.37,99.43,0.50
Ah 8d 2c,Qc,Kh7h,0.637,15.20,0.46398,50.8914,0.24,0.07,0.34,0.37,99.42,0.47
Ah 8d 2c,Qc,Kh8h,0.685,46.14,1.73366,62.6282,0.20,1.20,0.26,1.62,99.54,1.74
Ah 8d 2c,Qc,Kh9h,0.933,19.45,0.51117,43.7933,0.19,-0.02,0.28,0.39,99.53,0.51
Ah 8d 2c,Qc,KhTh,0.795,29.03,0.96266,55.2774,12.95,0.96,41.38,0.96,45.67,0.96
Ah 8d 2c,Qc,KhJh,0.966,32.28,1.08745,56.1505,8.81,1.09,30.25,1.09,60.94,1.09
Ah 8d 2c,Qc,KhQh,0.982,63.85,3.11673,81.3519,0.16,2.38,0.14,3.06,99.70,3.12
Ah 8d 2c,Qc,KhTs,0.981,28.89,0.94479,54.4965,12.39,0.94,35.24,0.94,52.37,0.95
Ah 8d 2c,Qc,KhJs,0.988,32.10,1.07825,55.9769,5.77,1.07,15.63,1.08,78.60,1.08
Ah 8d 2c,Qc,KhQs,0.993,63.81,3.10408,81.0797,0.16,2.35,0.14,3.04,99.70,3.11
Ah 8d 2c,Qc,6s6c,0.816,33.15,1.06662,53.6306,29.93,1.07,37.80,1.07,32.27,1.06
Ah 8d 2c,Qc,6s6d,0.830,32.87,1.0225,51.8448,2.74,0.99,38.74,1.02,58.51,1.02
Ah 8d 2c,Qc,6s6h,0.846,32.91,1.0231,51.8118,2.73,1.00,32.65,1.02,64.63,1.02
Ah 8d 2c,Qc,6s5s,0.627,4.78,0.60975,212.784,1.81,0.59,13.37,0.61,84.82,0.61
