Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,7h,KcJh,0.003,17.37,-0.00299,-0.14358,0.06,-4.83,0.01,-4.50,99.94,0.00
Ah 8d 2c,7h,KcQh,0.004,19.62,-0.00294,-0.1248,0.06,-4.44,0.01,-3.97,99.93,0.00
Ah 8d 2c,7h,KcTs,0.002,19.81,-0.00295,-0.12404,0.06,-4.21,0.01,-4.09,99.93,0.00
Ah 8d 2c,7h,KcJs,0.008,20.33,-0.00297,-0.12158,0.06,-4.69,0.01,-4.02,99.94,0.00
Ah 8d 2c,7h,KcQs,0.017,20.72,-0.003,-0.12072,0.06,-4.57,0.01,-3.97,99.93,0.00
Ah 8d 2c,7h,Ac3c,0.762,43.30,0.01209,0.23279,1.78,0.00,75.67,0.02,22.55,0.00
Ah 8d 2c,7h,Ac4c,0.749,43.23,-0.00188,-0.03618,0.58,-0.10,76.50,0.00,22.92,0.00
Ah 8d 2c,7h,Ac5c,0.677,43.12,-0.0038,-0.07353,0.21,-0.13,58.79,-0.01,40.99,0.00
Ah 8d 2c,7h,Ac6c,0.765,43.41,-0.0013,-0.02492,0.18,-0.11,56.36,0.00,43.46,0.00
Ah 8d 2c,7h,Ac7c,0.542,67.63,11.0042,135.585,0.15,9.00,99.85,11.01,0.00,0.00
Ah 8d 2c,7h,Ac8c,0.255,79.14,17.2933,182.091,48.55,17.31,51.44,17.28,0.01,0.00
Ah 8d 2c,7h,Ac9c,0.488,43.79,0.41417,7.88091,0.04,0.24,99.02,0.42,0.94,0.00
Ah 8d 2c,7h,AcTc,0.684,44.51,0.55456,10.3817,0.07,0.54,99.45,0.56,0.48,0.00
Ah 8d 2c,7h,Ac2d,0.597,68.09,11.063,135.393,0.23,10.00,99.77,11.07,0.00,0.00
Ah 8d 2c,7h,Ac3d,0.906,43.29,0.0107,0.20596,1.96,0.00,75.35,0.01,22.69,0.00
Ah 8d 2c,7h,Ac4d,0.902,43.23,-0.0008,-0.01548,0.57,-0.10,75.79,0.00,23.64,0.00
Ah 8d 2c,7h,Ac5d,0.865,43.14,-0.00401,-0.07748,0.22,-0.12,67.03,-0.01,32.76,0.00
Ah 8d 2c,7h,Ac6d,0.895,43.48,0.00093,0.01777,0.19,-0.08,64.50,0.00,35.31,0.00
Ah 8d 2c,7h,Ac7d,0.847,67.91,11.2083,137.537,0.15,9.30,99.85,11.21,0.00,0.00
Ah 8d 2c,7h,Ac9d,0.609,43.17,0.32262,6.228,0.05,0.17,98.76,0.33,1.18,0.00
