Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Qd Jh 2h,3d,QsQc,0.997,94.05,22.2162,196.849,98.64,22.21,1.32,22.78,0.04,18.83
Qd Jh 2h,3d,Qs8d,0.485,74.88,10.9676,122.05,87.50,11.00,3.06,10.85,9.44,10.69
Qd Jh 2h,3d,Qs9d,0.546,75.80,11.1442,122.519,94.37,11.15,3.70,11.05,1.93,10.92
Qd Jh 2h,3d,QsTd,0.690,78.54,12.4666,132.272,96.19,12.47,3.37,12.32,0.44,11.87
Qd Jh 2h,3d,QsJd,0.996,90.07,19.6353,181.676,99.02,19.63,0.94,19.88,0.04,16.39
Qd Jh 2h,3d,Qs8h,0.663,75.26,11.001,121.811,52.51,11.15,8.04,10.84,39.45,10.84
Qd Jh 2h,3d,Qs9h,0.503,76.03,11.1908,122.661,64.96,11.32,12.84,11.02,22.21,10.90
Qd Jh 2h,3d,QsTh,0.724,78.54,12.5491,133.151,96.73,12.56,2.94,12.21,0.33,11.77
Qd Jh 2h,3d,QsQh,0.996,94.47,22.5717,199.117,94.96,22.54,4.99,23.14,0.05,18.92
Qd Jh 2h,3d,Qs7s,0.586,74.19,10.4431,117.296,2.55,10.66,1.51,10.45,95.93,10.44
Qd Jh 2h,3d,Qs8s,0.464,74.51,10.5718,118.238,7.18,10.75,9.86,10.51,82.96,10.56
Qd Jh 2h,3d,Qs9s,0.506,75.56,10.8334,119.483,22.94,11.02,16.45,10.79,60.61,10.77
Qd Jh 2h,3d,QsTs,0.652,78.10,12.2218,130.406,95.23,12.24,4.27,12.00,0.50,11.68
Qd Jh 2h,3d,QsJs,0.996,89.48,19.7604,184.024,99.30,19.76,0.67,20.17,0.03,16.10
Qd Jh 2h,3d,Ks7c,0.690,9.25,0.68002,61.2941,5.69,0.14,1.38,0.01,92.93,0.72
Qd Jh 2h,3d,Ks8c,0.581,9.90,0.7695,64.7516,3.56,0.18,1.16,0.05,95.28,0.80
Qd Jh 2h,3d,Ks9c,0.865,17.49,2.16673,103.209,8.63,1.77,1.10,1.61,90.27,2.21
Qd Jh 2h,3d,KsTc,0.798,27.37,3.82079,116.333,67.17,3.70,2.17,3.55,30.66,4.12
Qd Jh 2h,3d,KsJc,0.451,66.38,8.07075,101.315,0.14,6.19,0.33,7.82,99.53,8.07
Qd Jh 2h,3d,KsQc,0.982,83.95,14.8212,147.13,98.66,14.82,1.22,15.33,0.12,13.79
Qd Jh 2h,3d,KsKc,0.997,84.64,16.7016,164.432,91.97,16.71,7.94,16.68,0.09,14.58
Qd Jh 2h,3d,Ks7d,0.268,9.31,0.66625,59.6136,14.70,0.17,2.12,0.07,83.18,0.77
Qd Jh 2h,3d,Ks8d,0.598,9.95,0.62327,52.2211,39.55,0.38,2.17,0.16,58.28,0.80
