Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,Jd,Ah7d,0.893,34.64,2.51036,60.3849,0.44,4.10,0.44,3.66,99.12,2.50
Jh 8d 2h,Jd,Ah9d,0.765,41.54,3.41406,68.4871,0.78,4.65,1.11,4.10,98.11,3.40
Jh 8d 2h,Jd,AhTd,0.356,45.51,4.08282,74.7626,0.29,4.96,0.32,4.49,99.40,4.08
Jh 8d 2h,Jd,AhQd,0.251,47.48,4.09347,71.8445,0.20,4.94,0.24,4.71,99.56,4.09
Jh 8d 2h,Jd,AhKd,0.047,47.53,4.07159,71.3891,0.25,4.90,0.30,4.88,99.45,4.07
Jh 8d 2h,Jd,AhAd,0.995,79.08,11.5021,121.212,0.11,10.53,0.18,10.74,99.71,11.50
Jh 8d 2h,Jd,Ah3h,0.994,44.95,5.21029,96.6018,3.73,6.64,1.84,6.30,94.43,5.13
Jh 8d 2h,Jd,Ah4h,0.993,44.94,5.20929,96.5972,3.69,6.63,1.71,6.30,94.60,5.13
Jh 8d 2h,Jd,Ah5h,0.992,45.08,5.18904,95.9229,1.44,6.60,3.29,6.28,95.27,5.13
Jh 8d 2h,Jd,Ah6h,0.978,45.92,5.24482,95.1852,0.32,6.48,0.87,6.26,98.80,5.23
Jh 8d 2h,Jd,Ah7h,0.981,47.53,5.5155,96.7026,0.39,6.80,3.19,6.35,96.41,5.48
Jh 8d 2h,Jd,Ah8h,0.922,73.64,10.0037,113.207,0.20,9.41,50.77,10.21,49.03,9.80
Jh 8d 2h,Jd,Ah9h,0.965,53.32,7.16951,112.061,78.19,7.31,6.65,6.82,15.16,6.60
Jh 8d 2h,Jd,AhTh,0.837,56.51,7.06305,104.161,19.08,7.60,1.57,7.24,79.36,6.93
Jh 8d 2h,Jd,AhQh,0.797,58.10,6.98841,100.239,0.38,7.58,0.91,7.49,98.70,6.98
Jh 8d 2h,Jd,AhKh,0.603,57.51,6.77778,98.212,0.29,7.33,0.17,7.24,99.55,6.78
Jh 8d 2h,Jd,Ah2s,0.898,48.88,4.368,74.4693,0.08,4.83,0.21,4.59,99.71,4.37
Jh 8d 2h,Jd,Ah3s,0.976,31.15,2.14899,57.484,2.62,4.13,1.66,3.54,95.72,2.07
Jh 8d 2h,Jd,Ah4s,0.973,31.15,2.14818,57.4604,2.49,4.13,1.62,3.54,95.89,2.07
Jh 8d 2h,Jd,Ah5s,0.962,31.53,2.17177,57.4024,2.03,4.11,1.52,3.52,96.45,2.11
Jh 8d 2h,Jd,Ah6s,0.930,32.68,2.23004,56.874,0.37,3.97,0.37,3.40,99.26,2.22
Jh 8d 2h,Jd,Ah7s,0.934,34.52,2.51003,60.5872,0.43,4.08,0.46,3.59,99.11,2.50
Jh 8d 2h,Jd,Ah8s,0.616,66.76,7.29321,91.0394,0.12,7.24,0.11,8.09,99.76,7.29
Jh 8d 2h,Jd,Ah9s,0.650,41.57,3.61948,72.554,1.26,4.78,1.23,4.10,97.51,3.60
Jh 8d 2h,Jd,AhTs,0.379,45.25,3.97055,73.127,0.26,4.84,0.28,4.36,99.46,3.97
Jh 8d 2h,Jd,AhJs,0.870,93.97,16.5789,147.031,88.75,16.52,11.23,17.04,0.01,18.17
Jh 8d 2h,Jd,AhQs,0.377,47.33,4.23405,74.5487,0.21,5.04,0.25,4.67,99.54,4.23
Jh 8d 2h,Jd,AhKs,0.060,47.07,4.07228,72.0958,0.18,4.83,0.28,4.55,99.54,4.07
Jh 8d 2h,Jd,2s2c,0.999,94.86,20.6532,181.427,99.70,20.65,0.30,20.81,0.00,19.96
Jh 8d 2h,Jd,2s2d,0.999,94.86,20.4043,179.242,99.62,20.40,0.38,20.66,0.00,19.87
Jh 8d 2h,Jd,3s3c,0.568,47.62,5.28026,92.4064,0.18,5.35,0.32,5.26,99.50,5.28
Jh 8d 2h,Jd,3s3d,0.644,47.72,5.25996,91.8542,0.16,5.32,0.27,5.28,99.56,5.26
Jh 8d 2h,Jd,3s3h,0.892,47.67,4.67842,81.7895,0.16,5.34,0.28,5.30,99.56,4.68
Jh 8d 2h,Jd,4s4c,0.352,47.97,5.25559,91.2961,0.17,5.37,0.32,5.27,99.51,5.26
Jh 8d 2h,Jd,4s4d,0.449,48.07,5.1872,89.9168,0.16,5.35,0.25,5.30,99.59,5.19
Jh 8d 2h,Jd,4s4h,0.784,48.01,4.7255,82.0172,0.16,5.36,0.26,5.31,99.58,4.72
Jh 8d 2h,Jd,5s5c,0.094,48.21,4.97725,86.035,0.16,5.37,0.30,5.25,99.55,4.98
Jh 8d 2h,Jd,5s5d,0.118,48.34,4.64146,80.019,0.14,5.33,0.21,5.32,99.64,4.64
Jh 8d 2h,Jd,5s5h,0.648,48.25,4.79879,82.8875,0.14,5.34,0.20,5.32,99.66,4.80
Jh 8d 2h,Jd,6s6c,0.027,49.88,5.7113,95.418,0.09,5.19,0.18,5.16,99.74,5.71
Jh 8d 2h,Jd,6s6d,0.028,50.09,5.74638,95.5997,0.08,5.16,0.15,5.30,99.77,5.75
Jh 8d 2h,Jd,6s6h,0.395,49.91,5.0875,84.9496,0.07,5.15,0.15,5.23,99.78,5.09
Jh 8d 2h,Jd,6s5s,0.798,7.66,1.12951,122.809,1.38,3.45,1.54,3.04,97.08,1.07
Jh 8d 2h,Jd,7s7c,0.020,53.88,5.38712,83.3237,0.07,5.35,0.14,5.63,99.79,5.39
Jh 8d 2h,Jd,7s7d,0.019,53.75,5.31442,82.3896,0.07,5.33,0.13,5.65,99.79,5.31
Jh 8d 2h,Jd,7s7h,0.025,54.15,5.63234,86.6717,0.06,5.49,0.16,5.70,99.78,5.63
Jh 8d 2h,Jd,7s5s,0.685,8.55,0.99456,96.9337,0.54,3.27,0.57,3.03,98.88,0.97
Jh 8d 2h,Jd,7s6s,0.578,8.56,0.90488,88.0784,0.28,3.14,0.29,2.89,99.43,0.89
Jh 8d 2h,Jd,8s8c,0.999,96.90,20.4004,175.448,97.71,20.40,2.28,20.54,0.01,21.74
Jh 8d 2h,Jd,8s8h,0.999,96.77,20.0051,172.269,96.39,20.00,3.60,20.18,0.01,21.46
Jh 8d 2h,Jd,8s6s,0.861,60.97,7.18948,98.2726,0.07,5.80,0.18,6.20,99.75,7.19
Jh 8d 2h,Jd,8s7s,0.720,61.21,6.61982,90.1231,0.07,5.77,0.15,6.21,99.78,6.62
Jh 8d 2h,Jd,9s8c,0.223,64.36,7.90114,102.308,0.10,6.46,0.12,6.84,99.77,7.90
Jh 8d 2h,Jd,9s9c,0.277,72.23,9.63332,111.139,0.27,9.31,13.37,9.26,86.36,9.69
Jh 8d 2h,Jd,9s9d,0.391,72.19,9.63952,111.279,0.18,9.20,6.29,9.16,93.53,9.67
Jh 8d 2h,Jd,9s8h,0.472,64.10,7.84012,101.93,0.10,6.55,0.22,6.81,99.68,7.84
Jh 8d 2h,Jd,9s9h,0.538,71.97,9.43669,109.259,0.17,9.18,5.25,9.06,94.58,9.46
Jh 8d 2h,Jd,9s6s,0.491,9.85,1.42549,120.642,0.35,3.48,0.40,2.98,99.25,1.41
Jh 8d 2h,Jd,9s7s,0.668,17.56,2.39072,113.484,0.39,4.05,0.28,3.87,99.33,2.38
Jh 8d 2h,Jd,9s8s,0.249,64.29,7.89079,102.283,0.11,6.49,0.13,6.85,99.77,7.89
Jh 8d 2h,Jd,Ts8c,0.308,64.97,7.98074,102.367,0.12,6.62,0.09,6.95,99.79,7.98
Jh 8d 2h,Jd,Ts9c,0.851,27.32,5.54054,169,75.57,5.79,3.93,5.60,20.50,4.62
Jh 8d 2h,Jd,TsTc,0.280,75.83,10.2346,112.471,90.72,10.23,3.80,9.86,5.48,10.54
Jh 8d 2h,Jd,Ts9d,0.812,27.54,5.75485,174.144,88.17,5.83,6.43,5.60,5.40,4.65
Jh 8d 2h,Jd,TsTd,0.340,76.33,10.4809,114.432,0.39,10.24,24.93,9.89,74.68,10.68
Jh 8d 2h,Jd,Ts8h,0.395,64.76,7.94002,102.179,0.12,6.60,0.10,6.92,99.77,7.94
Jh 8d 2h,Jd,Ts9h,0.855,27.66,5.82313,175.46,90.84,5.91,1.74,5.70,7.42,4.77
Jh 8d 2h,Jd,TsTh,0.563,76.07,10.2936,112.759,0.87,10.14,25.69,9.86,73.45,10.45
Jh 8d 2h,Jd,Ts7s,0.793,17.76,2.4799,116.33,0.93,4.23,0.82,4.13,98.25,2.45
Jh 8d 2h,Jd,Ts8s,0.352,64.89,7.97962,102.477,0.12,6.65,0.09,6.95,99.78,7.98
Jh 8d 2h,Jd,Ts9s,0.868,27.43,5.76964,175.293,93.57,5.82,2.61,5.63,3.82,4.72
Jh 8d 2h,Jd,Js8c,0.996,99.26,20.4675,171.831,90.26,20.39,9.36,21.14,0.38,21.91
Jh 8d 2h,Jd,Js9c,0.499,89.73,15.4694,143.665,0.24,13.56,0.44,14.19,99.32,15.48
Jh 8d 2h,Jd,JsTc,0.546,90.12,15.3655,142.081,1.58,13.95,17.93,14.34,80.49,15.62
Jh 8d 2h,Jd,JsJc,0.996,99.97,20.4516,170.488,19.23,19.49,50.34,20.31,30.43,21.30
Jh 8d 2h,Jd,Js9d,0.287,89.79,15.5025,143.874,0.19,13.52,0.41,14.02,99.39,15.51
Jh 8d 2h,Jd,JsTd,0.395,90.46,15.4048,141.915,0.73,13.92,20.97,14.23,78.30,15.73
