Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Jh 8d 2h,3h,Ah6c,0.930,25.58,5.1413,167.496,78.45,5.23,21.07,4.82,0.48,4.01
Jh 8d 2h,3h,Ah7c,0.934,26.19,5.20411,165.561,97.17,5.22,2.40,4.81,0.43,3.97
Jh 8d 2h,3h,Ah8c,0.615,55.88,6.98374,104.148,0.12,6.38,0.73,6.82,99.15,6.99
Jh 8d 2h,3h,Ah9c,0.650,28.67,4.94458,143.734,15.41,5.02,83.80,4.93,0.79,4.83
Jh 8d 2h,3h,AhTc,0.379,33.61,5.10231,126.491,0.86,5.19,98.41,5.10,0.73,5.61
Jh 8d 2h,3h,AhJc,0.870,86.04,13.4172,129.953,0.28,12.72,3.46,13.55,96.26,13.41
Jh 8d 2h,3h,AhQc,0.377,38.90,5.81203,124.506,0.50,5.93,99.10,5.81,0.40,6.34
Jh 8d 2h,3h,AhKc,0.060,38.84,5.69732,122.23,0.43,5.46,99.27,5.70,0.30,5.11
Jh 8d 2h,3h,AhAc,0.996,85.28,14.3073,139.813,0.42,13.70,94.02,14.34,5.57,13.87
Jh 8d 2h,3h,Ah2d,0.797,41.89,5.67332,112.859,0.82,5.71,63.31,5.73,35.88,5.56
Jh 8d 2h,3h,Ah3d,0.970,44.80,5.89267,109.603,0.37,5.72,0.77,5.92,98.87,5.89
Jh 8d 2h,3h,Ah4d,0.966,31.64,5.95217,156.776,35.10,6.03,64.20,5.92,0.70,5.48
Jh 8d 2h,3h,Ah5d,0.947,31.64,5.94993,156.717,33.73,6.02,65.59,5.92,0.69,5.47
Jh 8d 2h,3h,Ah6d,0.697,25.58,5.18411,168.891,84.57,5.25,14.97,4.84,0.46,3.99
Jh 8d 2h,3h,Ah7d,0.893,25.93,5.18106,166.497,96.30,5.20,3.28,4.80,0.42,3.93
Jh 8d 2h,3h,Ah9d,0.765,28.48,4.96287,145.24,23.59,5.04,75.68,4.94,0.73,4.77
Jh 8d 2h,3h,AhTd,0.356,33.57,5.15943,128.067,0.85,5.25,98.54,5.16,0.61,5.59
Jh 8d 2h,3h,AhJd,0.856,85.91,13.3758,129.752,0.26,12.66,2.17,13.53,97.57,13.37
Jh 8d 2h,3h,AhQd,0.251,38.80,5.79906,124.546,0.49,5.73,99.18,5.80,0.33,6.33
Jh 8d 2h,3h,AhKd,0.047,38.74,5.72736,123.196,0.48,5.50,99.24,5.73,0.29,5.25
Jh 8d 2h,3h,AhAd,0.995,85.03,14.0997,138.177,0.41,13.51,65.00,14.27,34.59,13.79
Jh 8d 2h,3h,Ah4h,0.993,99.87,26.434,220.571,95.81,26.44,3.90,26.25,0.28,25.30
Jh 8d 2h,3h,Ah5h,0.992,99.87,26.0093,217.03,49.66,26.11,49.84,25.92,0.50,25.08
Jh 8d 2h,3h,Ah6h,0.978,99.86,25.7447,214.831,36.40,25.87,62.93,25.68,0.67,24.96
Jh 8d 2h,3h,Ah7h,0.981,99.84,25.8342,215.619,38.77,25.96,60.64,25.76,0.58,24.79
Jh 8d 2h,3h,Ah8h,0.922,99.93,24.5922,205.072,11.89,24.78,86.82,24.58,1.29,23.93
Jh 8d 2h,3h,Ah9h,0.965,99.84,25.9736,216.788,21.41,26.13,78.03,25.94,0.57,25.07
Jh 8d 2h,3h,AhTh,0.837,99.84,25.2185,210.492,12.23,25.38,86.31,25.20,1.46,24.75
Jh 8d 2h,3h,AhQh,0.797,99.85,25.1994,210.318,28.86,25.16,70.41,25.22,0.73,24.49
Jh 8d 2h,3h,AhKh,0.603,99.84,23.9064,199.535,0.48,23.78,97.98,23.92,1.54,23.08
Jh 8d 2h,3h,Ah2s,0.898,41.91,5.6832,113.002,0.83,5.71,66.08,5.74,33.09,5.57
Jh 8d 2h,3h,Ah3s,0.976,44.80,5.89339,109.616,0.36,5.73,0.77,5.92,98.87,5.89
Jh 8d 2h,3h,Ah4s,0.973,31.64,5.95198,156.771,35.03,6.03,64.28,5.92,0.69,5.48
Jh 8d 2h,3h,Ah5s,0.962,31.64,5.94799,156.666,33.46,6.02,65.86,5.91,0.68,5.47
Jh 8d 2h,3h,Ah6s,0.930,25.58,5.14131,167.497,78.46,5.23,21.07,4.82,0.48,4.01
Jh 8d 2h,3h,Ah7s,0.934,26.19,5.20414,165.562,97.17,5.22,2.40,4.81,0.43,3.97
Jh 8d 2h,3h,Ah8s,0.616,55.88,6.98361,104.144,0.12,6.38,0.73,6.82,99.15,6.99
Jh 8d 2h,3h,Ah9s,0.650,28.67,4.94461,143.731,15.42,5.02,83.79,4.93,0.79,4.83
Jh 8d 2h,3h,AhTs,0.379,33.62,5.10239,126.49,0.86,5.19,98.41,5.10,0.73,5.61
Jh 8d 2h,3h,AhJs,0.870,86.04,13.4175,129.953,0.28,12.72,3.48,13.55,96.24,13.41
Jh 8d 2h,3h,AhQs,0.377,38.90,5.81204,124.506,0.50,5.93,99.10,5.81,0.40,6.34
Jh 8d 2h,3h,AhKs,0.060,38.84,5.69732,122.23,0.43,5.46,99.27,5.70,0.30,5.11
Jh 8d 2h,3h,2s2c,0.999,83.17,15.397,154.27,8.91,15.41,90.78,15.40,0.30,14.53
Jh 8d 2h,3h,2s2d,0.999,83.16,15.4094,154.419,7.13,15.44,92.57,15.41,0.30,14.53
Jh 8d 2h,3h,3s3c,0.568,83.98,15.3375,152.201,5.41,15.33,94.25,15.34,0.35,14.68
Jh 8d 2h,3h,3s3d,0.644,83.98,15.3366,152.191,5.59,15.33,94.06,15.34,0.35,14.68
Jh 8d 2h,3h,4s4c,0.352,25.63,1.72379,56.038,81.89,1.60,1.52,1.53,16.58,2.34
Jh 8d 2h,3h,4s4d,0.449,25.63,1.72306,56.0143,81.65,1.60,1.53,1.53,16.82,2.33
